	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Mono m/z	m/z	Intensity	resolution	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
81	3196.7069	4	127733504	800.4347	800.0795-802.0548	0.9895	b30	-9.644650418943446	0	3196.7377314179007	800.1840014666001	800.1835603180955	260073600.0	161386.515625	-1.4040400562137574	5.949708437500074	-0.9989580359024927	3.0672417644941077	0.004958181030300037	1.2116885913459075
82	4877.6418	6	576791936	814.2818	813.8378-815.5661	0.9898	y46	-9.740142367865767	0	4877.6893093883	813.9475764666001	813.9471685882531	889267392.0	155521.828125	-2.1290394969521924	7.6636821234343415	-0.9986153318464821	5.468971533490104	0.005233652268632327	1.2349172323816069
83	3267.7444	4	195837216	818.1941	817.8113-819.8336	0.9735	b31	-9.316914059110966	0	3267.774845577401	817.9433764666001	817.9426249753942	253988976.0	159391.390625	-1.4292238307379737	5.942082896803159	-0.9998052847552761	3.0172766385998218	0.005131661263309805	1.2128689404795647
84	1642.9237	2	237507328	822.4693	822.3445-825.0887	0.9946	y16	-10.316270042946059	0	1642.9406490193999	822.4691264666001	822.4691835054409	244495280.0	162454.84375	-0.8981427591111389	5.530088244739069	-0.9984263459256347	1.927506987932821	0.005062755683487836	1.195373062138625
85	828.4445	1	102459176	829.4518	829.3135-832.5677	0.9982	b7	-9.973738964291176	0	828.4527627716001	829.4517764666	829.4515822520843	47427796.0	161043.171875	-0.8110127111673302	3.8062435183108634	-0.7044741066211608	2.3833748768198313	0.005150492086034519	1.1989637838004148
86	4990.7245	6	367307552	833.296	832.6805-834.4421	0.9866	y47	-9.79281877572361	0	4990.7733737392	832.7946931332667	832.7943180730791	682769216.0	157005.546875	-2.1450462902314453	7.40957385300653	-0.9997683527176918	5.332478027383393	0.005304235007289956	1.2177959404436256
87	1696.9334	2	12195525	849.4741	849.2937-852.0943	0.9329	z17	-10.497699080753375	0	1696.9512140832	849.4739764666	849.4745226434525	6706006.5	143777.015625	0.24434033052659096	1.140357266285971	0.44608158675583975	0.8476642951095633	0.005908277612737884	1.2828746360531893
88	5101.7536	6	123700672	851.8008	851.1548-853.0836	0.9671	z48	-10.153836653851616	0	5101.805402898701	851.2995431332668	851.2996524020834	146222528.0	153647.71875	-2.334982726708105	5.9919219525272	-0.9992404751795445	5.469875982138033	0.0055405941547835924	1.2264530995783527
89	5118.7806	6	244484576	854.6387	853.9070-855.9262	0.9774	y48	-10.03197504474429	0	5118.831951994401	854.1373764666	854.1372198931755	379585920.0	151605.015625	-2.174001847565622	6.834762035512988	-0.9988239258540446	5.317413552431463	0.005633964129563576	1.2360719817098398
90	1713.9603	2	280386592	857.9876	857.8535-860.6167	0.9965	y17	-10.188684634756935	0	1713.9777631789	857.9874264666	857.9873313576235	268576192.0	155063.09375	-0.9467704296583642	5.66935854700004	-0.9989179691468963	2.137575575648687	0.005533149833453671	1.2158032285200546
91	2582.386	3	126226504	862.1368	861.6472-863.9496	0.9945	b24	-9.365650210192513	0	2582.410185950501	861.8026097999334	861.8017541379056	84561296.0	157690.0	-1.1429336753490555	4.640743503428576	-0.9975755333583304	2.251044139178517	0.005465164272546804	1.2004875995691815
92	6047.2152	7	39614848	865.4681	864.7668-866.7191	0.9502	y57	-11.068449348753857	0	6047.282134035998	864.8951621808857	864.8959915007683	20330734.0	136123.6875	-2.0710236582811175	3.842118047529511	-0.9683684424984881	6.015760602899443	0.00635375082313112	1.3225581566087028
93	3481.8728	4	117907976	871.7262	871.3235-873.3502	0.9522	b33	-9.704209672319625	0	3481.9065891516007	871.4754764666001	871.4750368294287	144135728.0	154253.28125	-1.196796415393066	5.211516914182141	-0.998309372688148	2.5656759125358435	0.005649636946244401	1.213726085939898
94	871.5402	1	37157956	872.5475	872.3046-875.7101	0.9746	y8	-10.21896372248389	0	871.5491063287	872.5474764666001	872.5472438778306	23763554.0	151913.84375	-1.0152364633569595	3.270405002715479	-0.9689233462107845	2.034115731241348	0.005743698022108868	1.225651253862649
95	1784.9964	2	342422912	893.5056	893.3973-896.1327	0.9921	y18	-10.351363809157897	0	1785.0148773384	893.5054764666	893.5054014588874	351717248.0	154973.140625	-0.9898141759894181	5.956320997719581	-0.9996263312293162	2.099049256656339	0.005765550067937054	1.199935785883912
96	6261.3462	7	73966600	895.915	895.3584-897.2308	0.9802	y59	-10.808678602159299	0	6261.413877610198	895.4853050380286	895.4852406826622	70561360.0	147137.15625	-2.3417960706874315	5.257436486004725	-0.9942179441203458	5.43839788578888	0.0060860578218675625	1.241248509701928
97	1796.9528	2	121928024	899.4838	899.3752-902.0981	0.9717	b16	-9.922292608346938	0	1796.9706300684002	899.4836764666001	899.4833868387716	63545000.0	152312.9375	-1.9217145368775574	5.18451265642056	-0.5576926324448614	2.191834607904769	0.005905495630263001	1.2111699395181579
