	m/z	Intensity	resolution	issues	cluster	number	rest	intensity	Mass	Charge	Abundance	Base Peak	Interval	Correlation	Ions	PPMError	Shift	TheorMass	Spectrum	Slope	Intercept	RSquare	Ratio	FWHM	FWHM Coeff
330	1061.0553254696383	8038025.5	152255.94	False	1431	3	0.0004316121534531092	8038025.5	4237.1817	4	56143172	1060.8041	1060.1743-1062.4287	0.9839	b42	-10.555156278772957	0	4237.2264245871	2	-2.2367637248537573	3.037627949298225	-0.9166894531947223	2.1507993562576733	0.00696889292392711	1.1465518499147933
331	1078.3126388292453	13255675.0	149736.66	False	1457	1	-0.0009053494185200517	13255675.0	4308.219	4	65583020	1078.5634	1077.9229-1080.4452	0.9816	b43	-10.337980998421738	0	4308.2635387466	2	-1.5137779255994284	3.05420342690118	-0.9321941318961976	1.901909985040543	0.007201393872645966	1.1531556516566324
332	1078.8135226834825	12496954.0	140806.55	False	1457	3	-0.004079532469940084	12496954.0	4308.219	4	65583020	1078.5634	1077.9229-1080.4452	0.9816	b43	-10.337980998421738	0	4308.2635387466	2	-1.721837953639563	3.143975650147662	-0.9874984064014599	2.8134977403983825	0.00766167160992302	1.2012196589168767
333	1089.591697966116	11470934.0	115906.12	False	1476	1	-0.0003903014515918013	11470934.0	3264.7503	3	41674740	1089.9258	1089.1290-1091.7128	0.9924	b33	-11.061227577209035	0	3264.7864125455003	2	-2.109668918989836	3.2809394093806903	-0.9365248395703327	2.1009251206978554	0.009400640142258377	1.3630811166410437
334	1089.9257691844768	13138704.0	132820.0	False	1476	2	-0.0015314463691775693	13138704.0	3264.7503	3	41674740	1089.9258	1089.1290-1091.7128	0.9924	b33	-11.061227577209035	0	3264.7864125455003	2	-1.3754601792461847	2.954739328028988	-0.960715584542906	2.2543846372922243	0.00820603650944494	1.244638351308045
335	1132.605441984606	14231006.0	135751.38	False	1546	1	-0.0006582459817427999	14231006.0	3393.7918	3	49555528	1132.6055	1132.1265-1134.7330	0.9861	b34	-10.963065235809255	0	3393.8290067688004	2	-1.516987438441119	3.091813467212942	-0.9395190021745731	2.1648032961813795	0.008343233665107303	1.211048725254454
336	1132.9403005564727	11404103.0	126969.766	False	1546	2	0.0005626696186245006	11404103.0	3393.7918	3	49555528	1132.6055	1132.1265-1134.7330	0.9861	b34	-10.963065235809255	0	3393.8290067688004	2	-2.3145062226812954	3.4107834477237633	-0.9741041197598094	3.023596734097995	0.00892291401011612	1.2661334745838768
337	1161.9501587109535	10274993.0	125644.88	False	1599	2	-0.0016628669393194961	10274993.0	3480.8236	3	74007064	1161.6161	1161.1401-1163.7445	0.9102	b35	-10.75478966659528	0	3480.8610359283	2	-2.395163644497164	3.3973764686743593	-0.9737108788481486	2.9765552799878647	0.00924789082293891	1.2643150436601573
338	1162.2851939077775	4160727.0	110847.22	False	1599	3	8.792353256570351e-05	4160727.0	3480.8236	3	74007064	1161.6161	1161.1401-1163.7445	0.9102	b35	-10.75478966659528	0	3480.8610359283	2	-2.807507999431367	2.8494545468206303	-0.9375559639802437	2.2218183687106063	0.010485470064243515	1.3743265517957786
339	1199.3098499352236	16255990.0	119785.836	False	1662	1	-0.002434394128943529	16255990.0	3593.9068	3	58314364	1199.6447	1198.8060-1201.7517	0.9799	b36	-10.656890445280968	0	3593.9451002792002	2	-0.9468075645083772	2.8856929279375882	-0.8996719036566986	3.5072381396927845	0.010012117380563934	1.2915104703496727
340	1199.6447024044787	16504009.0	122682.11	False	1662	2	-0.0012317863640656235	16504009.0	3593.9068	3	58314364	1199.6447	1198.8060-1201.7517	0.9799	b36	-10.656890445280968	0	3593.9451002792002	2	-1.2685005559245852	3.1432730416106125	-0.9876808216727193	3.453673434761092	0.009778481218785929	1.270986752644643
341	1341.7104898800726	7700433.0	130430.305	False	1905	1	-0.0005279730547618211	7700433.0	2680.4036	2	25324656	1341.7104	1341.0709-1344.3219	0.967	b27	-10.98591674697175	0	2680.4330470143004	2	-1.4284346779562866	2.4891482233565103	-0.8706042610825392	2.0940531469427093	0.01028680024243367	1.175454931400213
342	1380.376859435066	6762911.5	112078.35	False	1975	0	-0.0016510946006746963	6762911.5	4138.1104	3	114943784	1381.0459	1380.2662-1383.1530	0.9671	b41	-11.505191411853682	0	4138.158010300001	2	-1.6128765962045322	2.4648207431892417	-0.9216941971452	2.815740318742469	0.012316177390111819	1.2882268111536237
343	1380.711524532987	21211874.0	124955.445	False	1975	1	-0.001010600838401876	21211874.0	4138.1104	3	114943784	1381.0459	1380.2662-1383.1530	0.9671	b41	-11.505191411853682	0	4138.158010300001	2	-0.9352665124507668	3.1179733612137355	-0.9330872971900767	1.9338408129370015	0.011049630699006172	1.1980402647481698
344	1381.0459570149833	28740272.0	122125.555	False	1975	2	-0.0010679548492826818	28740272.0	4138.1104	3	114943784	1381.0459	1380.2662-1383.1530	0.9671	b41	-11.505191411853682	0	4138.158010300001	2	-1.5014636153129954	3.8049433411006808	-0.9761814505979179	2.5519276493145306	0.011308410926352487	1.216376745337449
345	1381.3804235242865	23603526.0	118236.63	False	1975	3	-0.001023226940186639	23603526.0	4138.1104	3	114943784	1381.0459	1380.2662-1383.1530	0.9671	b41	-11.505191411853682	0	4138.158010300001	2	-1.4363733913772874	3.5670157595127714	-0.976705863298216	3.3277458126999195	0.011683184734420538	1.2428015132059997
346	1414.0678535649147	8784997.0	129072.52	False	2031	2	-0.0012783050558264897	8784997.0	4237.1763	3	36392064	1414.0679	1413.2860-1416.2512	0.9349	b42	-11.82957483914879	0	4237.2264245871	2	-0.8730530006480034	2.185792710346632	-0.9443178108759356	1.1634666061442003	0.010955607095181959	1.1631350754408194
347	1438.0830963125604	6936771.0	114700.71	False	2076	3	-0.0015048621185895783	6936771.0	4308.2189	3	37959612	1437.7487	1436.9651-1440.1919	0.9752	b43	-10.361192206209497	0	4308.2635387466	2	-2.469183997820002	3.0053662358209907	-0.8825264651766874	2.753823836620714	0.012537699937153543	1.2513154219368754
348	1456.7732838636675	14320720.0	123217.37	False	2111	0	0.00030739706767235475	14320720.0	1455.7657	1	34623528	1456.7733	1456.6454-1461.9514	0.9814	z14	-12.171693443578599	0	1455.7834193495005	2	-0.839128727547498	2.681789636953115	-0.8723442954816869	1.8705445654209547	0.01182279184432576	1.1878509734897267
